state,stateLabel,position,positionLabel,person,personLabel,start,psid
Q42362,Maranhão,Q53739358,governor of Maranhão,Q10283063,Flávio Dino,2015-01-01,Q10283063-881681FB-4043-49A2-9EB8-ADA503493C52
Q43255,Rio Grande do Norte,Q53739366,governor of Rio Grande do Norte,Q10286993,Fátima Bezerra,2019-01-01,Q10286993-FA3E6C5F-8BEF-439B-AB62-96168E64BDD1
Q40780,Acre,Q47520037,governor of Acre,Q10290029,Gladson Cameli,2019-01-01,Q10290029-7961C02B-CAE9-44FD-9562-A4D8CB86AD9B
Q175,São Paulo,Q53739335,governor of São Paulo,Q10311413,João Doria,2019-01-01,Q10311413-ab99c774-49b0-313f-ad5f-25d68e36a2fe
Q43783,Sergipe,Q18176446,governor of Sergipe,Q10319222,Belivaldo Chagas Silva,2018-04-06,Q10319222-9FC346C2-5BB3-4B77-9E1A-F9A13441A490
Q15499,Paraná,Q18176235,governor of Paraná,Q10357567,Ratinho Júnior,2019-01-01,Q10357567-10ACEE2E-768E-4C6E-8D90-24FDDFBFFD1F
Q43319,Mato Grosso do Sul,Q53739381,governor of Mato Grosso do Sul,Q10358939,Reinaldo Azambuja,2015-01-01,Q10358939-87051630-6080-4378-816A-10A1B6CC6BCC
Q40885,Alagoas,Q53739367,governor of Alagoas,Q10359235,Renan Filho,2015-01-01,Q10359235-17C46037-AFA5-482B-9762-5E1D7BBFD36D
Q41587,Goiás,Q53739360,governor of Goiás,Q10364348,Ronaldo Caiado,2019-01-01,Q10364348-C0DB0CB7-4B98-40CB-8853-8BA0A88B7817
Q40430,Bahia,Q53739339,governor of Bahia,Q10365240,Rui Costa,2015-01-01,Q10365240-19B01FA4-E38E-4956-8106-69C65BF82B76
Q40030,Rio Grande do Sul,Q53739340,governor of Rio Grande do Sul,Q16337390,Eduardo Leite,2019-01-01,Q16337390-cbabcb4f-4892-a034-518d-bfd5aa9864d3
Q40123,Ceará,Q53739345,governor of Ceará,Q18242106,Camilo Santana,2015-01-01,Q18242106-00DB6A73-71D3-4652-8053-E26B82CC4A03
Q40942,Pernambuco,Q5589699,Governor of Pernambuco,Q18279658,Paulo Câmara,2015-01-01,Q18279658-AA7E6242-6B5F-437E-9830-F80EBD76C66E
Q39517,Pará,Q53739346,governor of Pará,Q3784499,Helder Barbalho,2019-01-01,Q3784499-F48D2408-57FA-4F23-9E2D-2FDAFD379673
Q43695,Tocantins,Q53739385,governor of the state of Tocantins,Q50844911,Mauro Carlesse,2018-04-19,Q50844911-B3B22E63-CD0E-4C29-BA32-91B3C0C66166
Q38088,Paraíba,Q53739363,governor of Paraíba,Q56351397,João Azevêdo,2019-01-01,Q56351397-d30fce7b-4f95-2dd4-e8b8-b2595980e023
Q39109,Minas Gerais,Q53739337,governor of Minas Gerais,Q57092113,Romeu Zema,2019-01-01,Q57092113-a735a2e0-4ac2-c407-c3ad-aca078e16a85
Q41115,Santa Catarina,Q53739354,governor of Santa Catarina,Q57946067,Carlos Moisés da Silva,2019-01-01,Q57946067-7aaa0b46-4168-07ad-8487-ee20006d5474
Q41428,Rio de Janeiro,Q25471912,governor of Rio de Janeiro,Q57965921,Claudio Bomfim de Castro e Silva,2020-01-01,Q57965921-11ba5438-445b-00e2-e773-220a836599d1
Q40040,Amazonas,Q53739362,governor of Amazonas,Q58047696,Wilson Lima,2019-01-01,Q58047696-0442DD7E-B3C1-4548-B763-C8622C4916F7
Q119158,Federal District,Q18176444,Governor of the Federal District,Q58053056,Ibaneis Rocha,2019-01-01,Q58053056-96FFB248-E89F-4FEE-8559-464E885F3397
Q42508,Roraima,Q53739390,governor of the state of Roraima,Q59284403,Antonio Denarium,2019-01-01,Q59284403-6d00b9d3-4601-9b29-afcb-a5fa9d4827d8
Q43235,Rondônia,Q53739384,governor of Rondônia,Q60345250,Marcos Rocha,2019-01-01,Q60345250-118869b6-40b2-019b-2777-4a72be87896b
Q42824,Mato Grosso,Q53739368,governor of Mato Grosso,Q7724122,Mauro Mendes,2019-01-01,Q7724122-bf167818-42fe-f8fd-6735-9d6b3363effd
Q42722,Piauí,Q53739375,governor of Piauí,Q7981381,Wellington Dias,2015-01-01,Q7981381-AA21DE50-58CC-4D1C-8DB7-11667447168A
Q40130,Amapá,Q53739389,governor of Amapá,Q9095459,Waldez Góes,2015-01-01,Q9095459-B1B8F139-39B0-4FD2-B774-288EC5510C8A
Q43233,Espírito Santo,Q53739364,governor of Espirito Santo,Q945907,Renato Casagrande,2019-01-01,Q945907-CA038563-7E36-494B-BA55-0F402A4916FF
