wdid,name,position,start
Q52871852,Hamilton Mourão,Vice President,5 August 2018
Q15985219,Ciro Nogueira,Chief of Staff,26 July 2021
Q49323012,Walter Souza Braga Netto,Minister of Defence,29 March 2021
Q106271551,Carlos Alberto França,Minister of Foreign Affairs,29 March 2021
Q56347746,Paulo Guedes,Minister of the Economy,11 October 2018
Q10341050,Onyx Lorenzoni,Minister of Labor and Employment,26 July 2021
Q105969706,Marcelo Queiroga,Minister of Health,16 March 2021
Q97161166,Milton Ribeiro,Minister of Education,10 July 2020
Q317643,Marcos Pontes,"Minister of Science, Technology and Innovation",30 October 2018
Q10279146,Fábio Faria,Minister of Communications,10 June 2020
Q106290142,Anderson Torres,Minister of Justice and Public Security,29 March 2021
Q60392579,Tarcísio Gomes de Freitas,Minister of Infrastructure,27 November 2018
Q107348193,Joaquim Alvaro Pereira Leite,Minister of Environment,23 June 2021
Q10380562,Tereza Cristina,Minister of Agriculture,7 November 2018
Q59308525,Bento Costa Lima,Minister of Mines and Energy,30 November 2018
Q59577903,Damares Alves,"Minister of Human Rights, Family and Women",30 November 2018
Q59204311,João Roma,Minister of Citizenship,12 February 2021
Q60961728,Flávia Arruda,Secretary of Government,29 March 2021
Q64682549,Luiz Eduardo Ramos,Secretary-General of the Presidency,26 July 2021
Q94787924,Eduardo Pazuello,Secretary of Strategic Affairs of the Presidency,1 June 2021
Q58812288,Roberto Campos Neto,President of the Central Bank,16 November 2018
Q107972708,Bruno Bianco,Attorney General of the Union,6 August 2021
Q30936068,Wagner Rosário,Controller General of the Union,20 November 2018
