wdid,name,wdLabel,source,sourceDate,pid,position,psid
Q10279146,Fabio Faria,Fabio Faria,,,Q96240294,Minister of Communications of Brazil,Q10279146-ed62f5f3-4655-ee28-2342-53701ad78509
Q10304982,Jair Bolsonaro,Jair Bolsonaro,,,Q5176750,President of Brazil,Q10304982-aa9dba23-4aca-8e9b-fc97-269d7d5f969b
Q10325465,Marcos Montes Cordeiro,Marcos Montes Cordeiro,,,Q18176428,minister of Agriculture,Q10325465-7437c178-4fdc-3e7c-1a8c-551d89058af6
Q105969706,Marcelo Queiroga,Marcelo Queiroga,https://en.wikipedia.org/wiki/Marcelo_Queiroga,2021-12-04,Q59346265,Minister of Health,Q105969706-E1A9D08B-FC99-4C28-BB17-5AB5D5BDCBAC
Q106271551,Carlos Alberto Franco França,Carlos Alberto Franco França,https://en.wikipedia.org/wiki/Carlos_Alberto_França,2021-12-04,Q18176431,Minister of Foreign Affairs,Q106271551-A498BDC4-570F-4D44-8D75-1F04A386DCDC
Q106290142,Anderson Torres,Anderson Torres,https://en.wikipedia.org/wiki/Anderson_Torres,2021-11-04,Q18176440,Minister of Justice and Public Security,Q106290142-B39F9591-97D9-4A5E-8730-700B923EFED6
Q106307801,Paulo Sérgio Nogueira de Oliveira,Paulo Sérgio Nogueira de Oliveira,https://en.wikipedia.org/wiki/Paulo_Sérgio_Nogueira_de_Oliveira,2022-04-01,Q59346258,Minister of Defence,Q106307801-17C25A31-A324-46D1-AFA8-B0151A89B435
Q106621007,Carlos Brito,Carlos Brito,,,Q59346275,Minister of Tourism of Brazil,Q106621007-9dc56d64-4702-961f-2f3b-d6ebe80ffc37
Q107348193,Joaquim Alvaro Pereira Leite,Joaquim Alvaro Pereira Leite,https://en.wikipedia.org/wiki/Joaquim_Alvaro_Pereira_Leite,2021-12-04,Q16141555,Minister of the Environment,Q107348193-B1315318-1E18-4E54-A586-2A8E1444ECCA
Q107972708,Bruno Bianco,Bruno Bianco,https://en.wikipedia.org/wiki/Bruno_Bianco,2021-12-04,Q12276986,Attorney General of the Union,Q107972708-E8FE655E-DF7A-4142-8CC9-1B679C890CF8
Q111433242,Victor Godoy Veiga,Victor Godoy Veiga,,,Q59346259,minister of Education of Brazil,Q111433242-1ffc70cc-4078-6359-32b5-5f67494f99c4
Q111444580,Paulo Alvim,Paulo Alvim,,,Q59346256,"Minister of Science, Technology, Innovations and Communications",Q111444580-4d349e97-4a07-c12e-21ed-c3dc5174ae21
Q111446648,José Carlos Oliveira,José Carlos Oliveira,,,Q52334511,Minister of Labour of Brazil,Q111446648-8A6DAC19-B35B-400C-B523-BBEB4C4D904D
Q111446662,Cristiane Rodrigues Britto,Cristiane Rodrigues Britto,,,Q96239851,"Minister of Women, Family and Human Rights",Q111446662-1A55F762-1638-41BB-906B-E2BD8F587868
Q111446664,Marcelo Sampaio,Marcelo Sampaio,,,Q109920325,Minister of Infrastructure,Q111446664-423814E3-9407-495B-8193-148386AFECF2
Q111446676,Daniel de Oliveira,Daniel de Oliveira,,,Q109922293,Minister of Regional Development,Q111446676-CBE367AE-B970-4F75-A744-E1523F090895
Q111446916,Célio Faria Júnior,Célio Faria Júnior,,,Q63644927,Secretary of Government,Q111446916-9BDE8658-7B6E-422A-8D58-22C2CAE44626
Q111446919,Ronaldo Bento,Ronaldo Bento,,,Q96239481,Minister of Citizenship,Q111446919-2ce7d0ad-45f1-3783-baab-5e870aa87019
Q15985219,Ciro Nogueira Lima Filho,Ciro Nogueira Lima Filho,https://en.wikipedia.org/wiki/Ciro_Nogueira_Lima_Filho,2021-12-04,Q5097042,Chief of Staff of the Presidency,Q15985219-FECD27FC-DE81-49C7-981B-5DCBB4B6E32C
Q30936068,Wagner Rosário,Wagner Rosário,https://en.wikipedia.org/wiki/Wagner_de_Campos_Rosário,2021-12-04,Q98516321,Comptroller General of the Union,Q30936068-F913BC84-550C-4202-91B0-E6758A034B83
Q52871852,Hamilton Mourão,Hamilton Mourão,,,Q2978540,Vice President of the Federative Republic of Brazil,Q52871852-bfc192a2-b3c7-4a9e-a587-f8bfdb819c05
Q56347746,Paulo Roberto Nunes Guedes,Paulo Roberto Nunes Guedes,https://en.wikipedia.org/wiki/Paulo_Guedes,2021-12-04,Q105527854,Minister of the Economy,Q56347746-70ABDA16-E6BD-4E31-A0EE-68D14C3C4C44
Q58812288,Roberto Campos Neto,Roberto Campos Neto,https://en.wikipedia.org/wiki/Roberto_Campos_Neto,2021-12-04,Q109920163,President of the Central Bank of Brazil,Q58812288-D525CBAA-C98B-467F-969D-072A76622FCE
Q59308525,Bento Albuquerque,Bento Albuquerque,https://en.wikipedia.org/wiki/Bento_Costa_Lima,2021-12-04,Q59346269,Minister of Mines and Energy,Q59308525-6B956405-9A39-4ACC-94F5-A42D4F0D2730
Q64682549,Luiz Eduardo Ramos,Luiz Eduardo Ramos,https://en.wikipedia.org/wiki/Luiz_Eduardo_Ramos,2021-12-04,Q98609740,Secretary-General of the Presidency,Q64682549-AA9425DE-600C-45F9-8794-D0C9C54063E7
Q94787924,Eduardo Pazuello,Eduardo Pazuello,https://en.wikipedia.org/wiki/Eduardo_Pazuello,2021-12-04,Q109920210,Secretary of Strategic Affairs of the Presidency,Q94787924-C665328C-5C8F-4B0E-9C3C-247B81E3F7CC
Q9637698,Augusto Heleno,Augusto Heleno,,,Q99236096,Chief Minister of the Institutional Security Office of the Presidency of the Republic,Q9637698-82449510-49c8-8133-a3c8-076c480ca5ba
