position,title
Q30033146,First Lady of Brazil
Q24255165,Mayor of São Paulo
Q59383888,president of the Legislative Assembly of Amazonas
Q59383889,president of the Legislative Assembly of Bahia
Q59383903,president of the Legislative Assembly of Rio de Janeiro
Q59390629,vice governor of Amazonas
Q59390630,vice governor of Bahia
Q59390640,vice governor of Minas Gerais
Q59390646,vice governor of Rio de Janeiro
Q59390651,vice governor of Santa Catarina
Q59390653,vice governor of São Paulo
Q59390656,vice governor of Tocantins
Q106307283,ambassador to Angola
Q40338303,ambassador to Canada
Q106314443,ambassador to Cape Verde
Q105798580,ambassador to the Democratic Republic of Congo
Q105926246,ambassador to East Timor
Q104036467,ambassador to France
Q102878597,ambassador to Germany
Q112235871,ambassador to Iceland
Q105839735,ambassador to Jamaica
Q96781512,ambassador to Portugal
Q105910014,ambassador to Romania
Q101337945,ambassador to Saudi Arabia
Q57329374,ambassador to Senegal
Q57329247,ambassador to Spain
Q38151493,ambassador to the United Kingdom
Q4958702,ambassador to the United States of America
Q30158516,ambassador to Uruguay
